observation_date,MSPNE
1976-01-01,45700
1976-04-01,46300
1976-07-01,48400
1976-10-01,50200
1977-01-01,50900
1977-04-01,53200
1977-07-01,49300
1977-10-01,52000
1978-01-01,56800
1978-04-01,55400
1978-07-01,57800
1978-10-01,60700
1979-01-01,65500
1979-04-01,65800
1979-07-01,66500
1979-10-01,67100
1980-01-01,65400
1980-04-01,67900
1980-07-01,71900
1980-10-01,71400
1981-01-01,71300
1981-04-01,84000
1981-07-01,73700
1981-10-01,71100
1982-01-01,69900
1982-04-01,81600
1982-07-01,81300
1982-10-01,76800
1983-01-01,77800
1983-04-01,81000
1983-07-01,84100
1983-10-01,84900
1984-01-01,82700
1984-04-01,94200
1984-07-01,91200
1984-10-01,86600
1985-01-01,89800
1985-04-01,99800
1985-07-01,108800
1985-10-01,105700
1986-01-01,121500
1986-04-01,121000
1986-07-01,125000
1986-10-01,131500
1987-01-01,139000
1987-04-01,145000
1987-07-01,139900
1987-10-01,142000
1988-01-01,149000
1988-04-01,145000
1988-07-01,153000
1988-10-01,155000
1989-01-01,168500
1989-04-01,144900
1989-07-01,165700
1989-10-01,161400
1990-01-01,150000
1990-04-01,159900
1990-07-01,158000
1990-10-01,167000
1991-01-01,153900
1991-04-01,150000
1991-07-01,155200
1991-10-01,169000
1992-01-01,166900
1992-04-01,175000
1992-07-01,170000
1992-10-01,165000
1993-01-01,150000
1993-04-01,175000
1993-07-01,155000
1993-10-01,162600
1994-01-01,159900
1994-04-01,172000
1994-07-01,165000
1994-10-01,169000
1995-01-01,179900
1995-04-01,179900
1995-07-01,179900
1995-10-01,183500
1996-01-01,179000
1996-04-01,199700
1996-07-01,181000
1996-10-01,200000
1997-01-01,204400
1997-04-01,189000
1997-07-01,180000
1997-10-01,195000
1998-01-01,196000
1998-04-01,200000
1998-07-01,212000
1998-10-01,200000
1999-01-01,195500
1999-04-01,214700
1999-07-01,206400
1999-10-01,212600
2000-01-01,229300
2000-04-01,239500
2000-07-01,212800
2000-10-01,241400
2001-01-01,242800
2001-04-01,255200
2001-07-01,244200
2001-10-01,247800
2002-01-01,254200
2002-04-01,261100
2002-07-01,255400
2002-10-01,287100
2003-01-01,208100
2003-04-01,279900
2003-07-01,259400
2003-10-01,290000
2004-01-01,292000
2004-04-01,290300
2004-07-01,347700
2004-10-01,357400
2005-01-01,366800
2005-04-01,325700
2005-07-01,318700
2005-10-01,370300
2006-01-01,334600
2006-04-01,344600
2006-07-01,380500
2006-10-01,351400
2007-01-01,370300
2007-04-01,304900
2007-07-01,301300
2007-10-01,336900
2008-01-01,325900
2008-04-01,352500
2008-07-01,385200
2008-10-01,300700
2009-01-01,314800
2009-04-01,272500
2009-07-01,322200
2009-10-01,324600
2010-01-01,337400
2010-04-01,348700
2010-07-01,291000
2010-10-01,358000
2011-01-01,336200
2011-04-01,289100
2011-07-01,324100
2011-10-01,322800
2012-01-01,305400
2012-04-01,360900
2012-07-01,385700
2012-10-01,374300
2013-01-01,370300
2013-04-01,373200
2013-07-01,320100
2013-10-01,421400
2014-01-01,339800
2014-04-01,361900
2014-07-01,453900
2014-10-01,398600
2015-01-01,456800
2015-04-01,397800
2015-07-01,383700
2015-10-01,501900
2016-01-01,417100
2016-04-01,454100
2016-07-01,434000
2016-10-01,403700
2017-01-01,566500
2017-04-01,472200
2017-07-01,445800
2017-10-01,496500
2018-01-01,437500
2018-04-01,453300
2018-07-01,503700
2018-10-01,519700
2019-01-01,480300
2019-04-01,453500
2019-07-01,543400
2019-10-01,469500
2020-01-01,512100
2020-04-01,445500
2020-07-01,528400
2020-10-01,534400
2021-01-01,541500
2021-04-01,584200
2021-07-01,567700
2021-10-01,566400
2022-01-01,587700
2022-04-01,609500
2022-07-01,664600
2022-10-01,591700
2023-01-01,727800
2023-04-01,744500
2023-07-01,893300
2023-10-01,707900
2024-01-01,835200
2024-04-01,702300
2024-07-01,615200
2024-10-01,798800
